ticker,year,quarter,payments_usd
MSFT,2008,3,778000000.0
MSFT,2008,4,842000000.0
MSFT,2009,1,632000000.0
MSFT,2009,3,435000000.0
MSFT,2009,4,376000000.0
MSFT,2010,1,408000000.0
MSFT,2010,3,564000000.0
MSFT,2010,4,491000000.0
MSFT,2011,1,658000000.0
MSFT,2011,3,436000000.0
MSFT,2011,4,498000000.0
MSFT,2012,1,749000000.0
MSFT,2012,3,603000000.0
MSFT,2012,4,930000000.0
GOOG,2013,0,7358000000.0
MSFT,2013,1,930000000.0
MSFT,2013,3,1231000000.0
MSFT,2013,4,1732000000.0
GOOG,2014,0,11014000000.0
MSFT,2014,1,1192000000.0
GOOG,2014,3,7408000000.0
MSFT,2014,3,1282000000.0
MSFT,2014,4,1490000000.0
GOOG,2015,0,9950000000.0
GOOG,2015,1,2927000000.0
MSFT,2015,1,1391000000.0
GOOG,2015,2,2515000000.0
GOOG,2015,3,2383000000.0
MSFT,2015,3,1356000000.0
MSFT,2015,4,2024000000.0
AMZN,2016,0,7804000000.0
GOOG,2016,0,10212000000.0
GOOG,2016,1,2444000000.0
MSFT,2016,1,2308000000.0
GOOG,2016,2,2136000000.0
GOOG,2016,3,2554000000.0
MSFT,2016,3,2163000000.0
MSFT,2016,4,1988000000.0
AMZN,2017,0,11955000000.0
GOOG,2017,0,13184000000.0
GOOG,2017,1,2508000000.0
MSFT,2017,1,1695000000.0
GOOG,2017,2,2831000000.0
AMZN,2017,3,3074000000.0
GOOG,2017,3,3538000000.0
MSFT,2017,3,2132000000.0
MSFT,2017,4,2586000000.0
AMZN,2018,0,13427000000.0
GOOG,2018,0,25139000000.0
AMZN,2018,1,3098000000.0
GOOG,2018,1,7299000000.0
MSFT,2018,1,2934000000.0
AMZN,2018,2,3243000000.0
GOOG,2018,2,5477000000.0
AMZN,2018,3,3352000000.0
GOOG,2018,3,5282000000.0
MSFT,2018,3,3602000000.0
MSFT,2018,4,3707000000.0
AMZN,2019,0,16861000000.0
GOOG,2019,0,23548000000.0
AMZN,2019,1,3290000000.0
GOOG,2019,1,4638000000.0
MSFT,2019,1,2565000000.0
AMZN,2019,2,3562000000.0
GOOG,2019,2,6126000000.0
AMZN,2019,3,4697000000.0
GOOG,2019,3,6732000000.0
MSFT,2019,3,3385000000.0
MSFT,2019,4,3545000000.0
AMZN,2020,0,40140000000.0
GOOG,2020,0,22281000000.0
AMZN,2020,1,6795000000.0
GOOG,2020,1,6005000000.0
MSFT,2020,1,3767000000.0
AMZN,2020,2,7459000000.0
GOOG,2020,2,5391000000.0
AMZN,2020,3,11063000000.0
GOOG,2020,3,5406000000.0
MSFT,2020,3,4907000000.0
MSFT,2020,4,4174000000.0
AMZN,2021,0,61053000000.0
GOOG,2021,0,24640000000.0
AMZN,2021,1,12082000000.0
GOOG,2021,1,5942000000.0
MSFT,2021,1,5089000000.0
AMZN,2021,2,14288000000.0
GOOG,2021,2,5496000000.0
AMZN,2021,3,15748000000.0
GOOG,2021,3,6819000000.0
MSFT,2021,3,5810000000.0
MSFT,2021,4,5865000000.0
AMZN,2022,0,63645000000.0
GOOG,2022,0,31485000000.0
AMZN,2022,1,14951000000.0
GOOG,2022,1,9786000000.0
MSFT,2022,1,5340000000.0
AMZN,2022,2,15724000000.0
GOOG,2022,2,6828000000.0
AMZN,2022,3,16378000000.0
GOOG,2022,3,7276000000.0
MSFT,2022,3,6283000000.0
MSFT,2022,4,6274000000.0
AMZN,2023,0,52729000000.0
GOOG,2023,0,32251000000.0
AMZN,2023,1,14207000000.0
GOOG,2023,1,6289000000.0
MSFT,2023,1,6607000000.0
AMZN,2023,2,11455000000.0
GOOG,2023,2,6888000000.0
AMZN,2023,3,12479000000.0
GOOG,2023,3,8055000000.0
MSFT,2023,3,9917000000.0
MSFT,2023,4,9735000000.0
AMZN,2024,0,82999000000.0
GOOG,2024,0,52535000000.0
AMZN,2024,1,14925000000.0
GOOG,2024,1,12012000000.0
MSFT,2024,1,10952000000.0
AMZN,2024,2,17620000000.0
GOOG,2024,2,13186000000.0
AMZN,2024,3,22620000000.0
GOOG,2024,3,13061000000.0
MSFT,2024,3,14923000000.0
MSFT,2024,4,15804000000.0
AMZN,2025,1,25019000000.0
GOOG,2025,1,17197000000.0
MSFT,2025,1,16745000000.0
AMZN,2025,2,32183000000.0
GOOG,2025,2,22446000000.0
AMZN,2025,3,35095000000.0
GOOG,2025,3,23953000000.0
MSFT,2025,3,19394000000.0
